Area;FIPS;Counts;Pop
Adams;18001;94;208675
Allen;18003;959;2144868
Bartholomew;18005;250;511919
Benton;18007;29;61297
Blackford;18009;41;98241
Boone;18011;168;347669
Brown;18013;64;132703
Carroll;18015;75;148608
Cass;18017;136;259032
Clark;18019;374;723636
Clay;18021;88;181602
Clinton;18023;107;211468
Crawford;18025;47;84400
Daviess;18027;127;206496
Dearborn;18029;123;342095
Decatur;18031;87;176316
DeKalb;18033;163;277721
Delaware;18035;316;738147
Dubois;18037;172;290170
Elkhart;18039;536;1193717
Fayette;18041;95;171302
Floyd;18043;288;496894
Fountain;18045;68;125638
Franklin;18047;74;158805
Fulton;18049;76;153168
Gibson;18051;109;228827
Grant;18053;254;474137
Greene;18055;145;235217
Hamilton;18057;677;1562377
Hancock;18059;193;486983
Harrison;18061;156;281068
Hendricks;18063;506;898398
Henry;18065;191;348878
Howard;18067;299;606493
Huntington;18069;129;247131
Jackson;18071;126;283495
Jasper;18073;115;231388
Jay;18075;56;140436
Jefferson;18077;100;220292
Jennings;18079;96;177270
Johnson;18081;302;883352
Knox;18083;174;255681
Kosciusko;18085;174;501029
LaGrange;18087;104;212044
Lake;18089;1393;3133708
LaPorte;18091;235;756663
Lawrence;18093;191;343628
Madison;18095;468;893355
Marion;18097;2169;4872998
Marshall;18099;165;317672
Martin;18101;33;76747
Miami;18103;94;237180
Monroe;18105;368;733673
Montgomery;18107;123;274320
Morgan;18109;194;462981
Newton;18111;54;109439
Noble;18113;137;298358
Ohio;18115;16;49009
Orange;18117;76;142882
Owen;18119;75;158702
Parke;18121;37;124858
Perry;18123;73;134980
Pike;18125;48;97157
Porter;18127;467;1074571
Posey;18129;82;180799
Pulaski;18131;61;94088
Putnam;18133;102;246560
Randolph;18135;75;190206
Ripley;18137;112;196560
Rush;18139;48;119103
St. Joseph;18141;770;1669445
Scott;18143;76;157258
Shelby;18145;108;305343
Spencer;18147;67;154430
Starke;18149;82;171971
Steuben;18151;96;263565
Sullivan;18153;61;140265
Switzerland;18155;36;75215
Tippecanoe;18157;446;864642
Tipton;18159;53;113162
Union;18161;23;55555
Vanderburgh;18163;613;1192741
Vermillion;18165;48;111906
Vigo;18167;371;676541
Wabash;18169;99;241639
Warren;18171;21;64560
Warrick;18173;201;435947
Washington;18175;98;188801
Wayne;18177;177;478439
Wells;18179;98;196523
White;18181;99;182364
Whitley;18183;100;238743
